30800.00,1.0000
31000.00,1.0000
31600.00,1.0000
31700.00,1.0000
32000.00,1.0000
33000.00,1.0000
34000.00,1.0000
35000.00,1.0000
36000.00,1.0000
37000.00,1.0000
38000.00,1.0000
39000.00,1.0000
40000.00,1.0000
41400.00,1.0000
41500.00,1.0000
42000.00,1.0000
43000.00,1.0000
44000.00,1.0000
45000.00,1.0000
46000.00,1.0000
47000.00,1.0000
48000.00,1.0000
49000.00,1.0000
50000.00,1.0000
50900.00,1.0000
51000.00,2.0000
53000.00,2.0000
54000.00,2.0000
54500.00,2.0000
55200.00,2.0000
55300.00,2.0000
56000.00,2.0000
57000.00,2.0000
58400.00,2.0000
58500.00,3.0000
60000.00,3.0000
65000.00,3.0000
70000.00,3.0000
72500.00,3.0000
72600.00,3.0000
73000.00,3.0000
75300.00,3.0000
75400.00,4.0000
78100.00,4.0000
78200.00,4.0000
79000.00,4.0000
80000.00,4.0000
90300.00,4.0000
90400.00,5.0000
92500.00,5.0000
95000.00,5.0000
103400.00,5.0000
103500.00,6.0000
103600.00,6.0000
103700.00,6.0000
104000.00,6.0000
105000.00,6.0000
114700.00,6.0000
114800.00,7.0000
117500.00,7.0000
120000.00,7.0000
124200.00,7.0000
124300.00,8.0000
125000.00,8.0000
131700.00,8.0000
131800.00,9.0000
134600.00,9.0000
134700.00,9.0000
137300.00,9.0000
137400.00,10.0000
141200.00,10.0000
141300.00,11.0000
143100.00,11.0000
143200.00,12.0000
143500.00,12.0000
145000.00,12.0000
145100.00,13.0000
150000.00,13.0000
160000.00,13.0000
170000.00,13.0000
176000.00,13.0000
176100.00,13.0000
180000.00,13.0000
190000.00,13.0000
200000.00,13.0000
250000.00,13.0000
300000.00,13.0000
350000.00,13.0000
400000.00,13.0000
500000.00,13.0000
600000.00,13.0000
700000.00,13.0000
755200.00,13.0000
755300.00,13.0000
800000.00,13.0000
850000.00,13.0000
895800.00,13.0000
895900.00,11.5000
